submission_sample_ID,sample_number,sample_year_extract_ID,sample_type,site,gene,year,lake.area.ha,lake.area.m2,elevation,fish,depth.feet,lat,long,water_cat,secchi,surface.temp,air.temp,o2,O2.percent,cond.us.cm,sp.Cond,pH.method,ph.ysi,ph.kit,alkalinity.drops,salinity,tn.mg.l,tp.mg.l,doc.mg,doc.um,chla,Tow depth,tn.umol.L,tp.umol.L
CBW_245_18S,330,2021_10,sierra,May,18S,2021,20.5206,20520.6,2845,Y,32,37.8474768,-119.4930758,,34,19.4,,10.77,116.6,3.2,3.5,YSI,7.71,,,,0.11287,0.00402,0.6,,0.57,,,
CBW_246_18S,331,2016_05,sierra,Sunrise2,18S,2016,3.0223,3022.3,2835,N,16.9,37.8088233,-119.4494792,mid,13,21.5,,,,9.5,,ysi,6.88,NA,,0.01,0.46,<0.10,,,,,,
CBW_247_18S,332,2016_11,sierra,Gardisky,18S,2016,6.2388,64094,3206,Y,41,37.9562813,-119.2515007,mid,11,14.7,,,,44.5,,ysi,8.02,NA,,0.02,0.25,<0.10,,,,3,,
CBW_248_18S,333,2016_19,sierra,Lukens,18S,2016,4.081,38710,2515,Y,16.4,37.859889,-119.6161365,mid,,15,,,,88.7,,ysi,6.53,NA,,0.04,0.1,<0.10,,,,3,,
CBW_249_18S,334,2021_13,sierra,Blue,18S,2021,3.907,3907,3009,Y,35,38.0511336,-119.2703313,,25,15.2,,7.94,79.5,64.4,79.1,YSI,8.22,,,,0.11703,ND,0.7,,0.85,,,
CBW_250_18S,335,2016_01,sierra,Greenstone,18S,2016,7.7923,80527,3092,Y,33.6,37.9798401,-119.2904565,mid,14,16.8,,,,6.2,,ysi,7.96,NA,,0,0.37,<0.10,,,,3,,
CBW_251_18S,336,2021_18,sierra,Cathedral.1.lower,18S,2021,9.7546,9754.6,2832,Y,36.7,37.8450836,-119.4243486,,15,20.8,,7.26,81.2,3,3.3,YSI,8.46,,,,0.22409,0.01115,1.6,,0.79,,,
CBW_252_18S,337,2017_16,sierra,Helen,18S,2017,21.0041,223126,3340,Y,35.1,37.8306612,-119.2287315,wet,20.3,15.8,,,,280,,ysi,9.22,,,0.11,,not being processed bc always below <0.13,,,0.84,,,
CBW_255_18S,340,2017_15,sierra,Spillway,18S,2017,5.1199,57209,3202,Y,16.4,37.8415211,-119.2324424,wet,7,15.2,,,,46.1,,ysi,8.68,,,0.02,,not being processed bc always below <0.14,,,0.73,,,
CBW_256_18S,341,2021_01,sierra,Gaylor.2.upper,18S,2021,3.8634,40383,3204,Y,16.4,37.9226947,-119.2673837,,28,16.2,,20.25,206.7,14.7,14.1,YSI,10.08,,,,0.17423,ND,0.8,,1.66,,,
CBW_257_18S,342,2017_05,sierra,Virginia,18S,2017,10.4569,10456.9,2993,Y,29,38.0469747,-119.2650757,wet,23,15.3,,,,,,ysi,7.97,,,,,not being processed bc always below <0.4,,,,,,
CBW_258_18S,343,2021_24,sierra,Cascade,18S,2021,2.0438,2043.8,3147,N,32.3,37.9900446,-119.3065766,,34,14.8,,7.1,70.1,3.1,3.9,YSI,7.67,,,,0.06769,ND,1.1,,0.4,,,
